product_name,revenue,orders
Technology - Accessories,973204.0,645
Technology - Machines,936115.0,636
Office Supplies - Labels,893958.0,601
Office Supplies - Supplies,886920.0,591
Office Supplies - Appliances,885983.0,601
Office Supplies - Art,875256.0,595
Technology - Copiers,871253.0,610
Furniture - Tables,850954.0,603
Office Supplies - Paper,841618.0,569
Office Supplies - Binders,828171.0,577
Furniture - Chairs,827554.0,568
Furniture - Furnishings,821786.0,583
Office Supplies - Envelopes,820761.0,568
Furniture - Bookcases,813444.0,564
Office Supplies - Storage,807139.0,575
